System Name,Star type,Non-stellar objects,Atmosphere,Temperature,Biosphere,Hydrosphere,Main Liquid,Primary Terrain,Gravity,Population size,Population Breakdown,Number of in-system planets,Habitable planets,Planet Tilt,Hours Per Day,Tech level,Moons,World Tags,Planet-side locales and hooks
Munillian Sulelius Phenomenon,,,,,,,,,,,,,,,,,,Quarantined world,
The Ampid Field,,,,,,,,,,,,,,,,,,Refugees,
Omega Loavera Halo Zone,,,,,,,,,,,,,,,,,,Regional hegemon,
Chokt,,,,,,,,,,,,,,,,,,Restrictive laws,
Ruat,,,,,,,,,,,,,,,,,,Revanchists,
Fims,,,,,,,,,,,,,,,,,,Revolutionaries,
Hiof,,,,,,,,,,,,,,,,,,Rigid culture,
Chons,,,,,,,,,,,,,,,,,,Ritual combat,
Fezziucs,,,,,,,,,,,,,,,,,,Sealed menace,
Eraivlems,,,,,,,,,,,,,,,,,,Seismic instability,
Useezlok,,,,,,,,,,,,,,,,,,Shakcled world,
Priosde,,,,,,,,,,,,,,,,,,Societal dispair,
Vlobduph,,,,,,,,,,,,,,,,,,Sole supplier,
Yeems,,,,,,,,,,,,,,,,,,Taboo treasure,
Struems,,,,,,,,,,,,,,,,,,Terraform failure,
Flih,,,,,,,,,,,,,,,,,,Trade hub,
Esheod,,,,,,,,,,,,,,,,,,Area 51,
Prax,,,,,,,,,,,,,,,,,,Cyclical doom,
Joajeft,,,,,,,,,,,,,,,,,,Ringed planet,
Oflishon,,,,,,,,,,,,,,,,,,This planet is the only source of a rare element.,
Shoirad,,,,,,,,,,,,,,,,,,Vault for dangerous pretech,
Rennir,,,,,,,,,,,,,,,,,,Supply base for pirates,
Osreslunt,,,,,,,,,,,,,,,,,,Black market for the elite,
Fenrir,,,,,,,,,,,,,,,,,,Foreign sabotage attempt,
Alator,,,,,,,,,,,,,,,,,,Things are emerging below,
Dagda,,,,,,,,,,,,,,,,,,Hideously immoral research,
Albiorix,,,,,,,,,,,,,,,,,,Human(oid) sacrifice,
Belenus,,,,,,,,,,,,,,,,,,Intricate Cave System,
Brigit,,,,,,,,,,,,,,,,,,Communications Hub,
Ceridwen,,,,,,,,,,,,,,,,,,Deadly plant life,
Epona,,,,,,,,,,,,,,,,,,Automated Defense System,
Esus,,,,,,,,,,,,,,,,,,Crystalline Surface,
Lenus,,,,,,,,,,,,,,,,,,Radioactive precious materials,
Maponus,,,,,,,,,,,,,,,,,,Huge Fungi,
Morrigan,,,,,,,,,,,,,,,,,,Giant hive mind insectoids,
Saitada,,,,,,,,,,,,,,,,,,Expansive library,
Minerva,,,,,,,,,,,,,,,,,,Mine field around planet,
Fiora,,,,,,,,,,,,,,,,,,,
Fortuna,,,,,,,,,,,,,,,,,,,
Faunus,,,,,,,,,,,,,,,,,,,
Charites,,,,,,,,,,,,,,,,,,,
Clyde,,,,,,,,,,,,,,,,,,,
Cybele,,,,,,,,,,,,,,,,,,,
Juno,,,,,,,,,,,,,,,,,,,
Janus,,,,,,,,,,,,,,,,,,,
Spes,,,,,,,,,,,,,,,,,,,
Sol Invictus,,,,,,,,,,,,,,,,,,,
Quinnies,,,,,,,,,,,,,,,,,,,
Q,,,,,,,,,,,,,,,,,,,
Vulcania,,,,,,,,,,,,,,,,,,,
Veritas,,,,,,,,,,,,,,,,,,,
Vesta,,,,,,,,,,,,,,,,,,,
Lares,,,,,,,,,,,,,,,,,,,
Parcae,,,,,,,,,,,,,,,,,,,
Io,,,,,,,,,,,,,,,,,,,
Europa,,,,,,,,,,,,,,,,,,,
Ganymede,,,,,,,,,,,,,,,,,,,
Callisto,,,,,,,,,,,,,,,,,,,
Amalthea,,,,,,,,,,,,,,,,,,,
Himalia,,,,,,,,,,,,,,,,,,,
Elara,,,,,,,,,,,,,,,,,,,
Pasiphae,,,,,,,,,,,,,,,,,,,
Sinope,,,,,,,,,,,,,,,,,,,
Lysithea,,,,,,,,,,,,,,,,,,,
Carme,,,,,,,,,,,,,,,,,,,
Ananke,,,,,,,,,,,,,,,,,,,
Leda,,,,,,,,,,,,,,,,,,,
Thebe,,,,,,,,,,,,,,,,,,,
Adrastea,,,,,,,,,,,,,,,,,,,
Metis,,,,,,,,,,,,,,,,,,,
Callirrhoe,,,,,,,,,,,,,,,,,,,
Themisto,,,,,,,,,,,,,,,,,,,
Megaclite,,,,,,,,,,,,,,,,,,,
Taygete,,,,,,,,,,,,,,,,,,,
Chaldene,,,,,,,,,,,,,,,,,,,
Harpalyke,,,,,,,,,,,,,,,,,,,
Kalyke,,,,,,,,,,,,,,,,,,,
Iocaste,,,,,,,,,,,,,,,,,,,
Erinome,,,,,,,,,,,,,,,,,,,
Isonoe,,,,,,,,,,,,,,,,,,,
Praxidike,,,,,,,,,,,,,,,,,,,
Autonoe,,,,,,,,,,,,,,,,,,,
Thyone,,,,,,,,,,,,,,,,,,,
Hermippe,,,,,,,,,,,,,,,,,,,
Aitne,,,,,,,,,,,,,,,,,,,
Eurydome,,,,,,,,,,,,,,,,,,,
Euanthe,,,,,,,,,,,,,,,,,,,
Euporie,,,,,,,,,,,,,,,,,,,
Orthosie,,,,,,,,,,,,,,,,,,,
Sponde,,,,,,,,,,,,,,,,,,,
Kale,,,,,,,,,,,,,,,,,,,
Pasithee,,,,,,,,,,,,,,,,,,,
Hegemone,,,,,,,,,,,,,,,,,,,
Mneme,,,,,,,,,,,,,,,,,,,
Aoede,,,,,,,,,,,,,,,,,,,
Thelxinoe,,,,,,,,,,,,,,,,,,,
Arche,,,,,,,,,,,,,,,,,,,
Kallichore,,,,,,,,,,,,,,,,,,,
Helike,,,,,,,,,,,,,,,,,,,
Carpo,,,,,,,,,,,,,,,,,,,
Eukelade,,,,,,,,,,,,,,,,,,,
Cyllene,,,,,,,,,,,,,,,,,,,
Kore,,,,,,,,,,,,,,,,,,,
Herse,,,,,,,,,,,,,,,,,,,
Dia,,,,,,,,,,,,,,,,,,,
Eirene,,,,,,,,,,,,,,,,,,,
Philophrosyne,,,,,,,,,,,,,,,,,,,
Eupheme,,,,,,,,,,,,,,,,,,,
Valetudo,,,,,,,,,,,,,,,,,,,
Pandia,,,,,,,,,,,,,,,,,,,
Ersa,,,,,,,,,,,,,,,,,,,
Mimas,,,,,,,,,,,,,,,,,,,
Enceladus,,,,,,,,,,,,,,,,,,,
Tethys,,,,,,,,,,,,,,,,,,,
Dione,,,,,,,,,,,,,,,,,,,
Rhea,,,,,,,,,,,,,,,,,,,
Titan,,,,,,,,,,,,,,,,,,,
Hyperion,,,,,,,,,,,,,,,,,,,
Iapetus,,,,,,,,,,,,,,,,,,,
Phoebe,,,,,,,,,,,,,,,,,,,
Janus,,,,,,,,,,,,,,,,,,,
Epimetheus,,,,,,,,,,,,,,,,,,,
Helene,,,,,,,,,,,,,,,,,,,
Telesto,,,,,,,,,,,,,,,,,,,
Calypso,,,,,,,,,,,,,,,,,,,
Atlas,,,,,,,,,,,,,,,,,,,
Prometheus,,,,,,,,,,,,,,,,,,,
Pandora,,,,,,,,,,,,,,,,,,,
Pan,,,,,,,,,,,,,,,,,,,
Ymir,,,,,,,,,,,,,,,,,,,
Paaliaq,,,,,,,,,,,,,,,,,,,
Tarvos,,,,,,,,,,,,,,,,,,,
Ijiraq,,,,,,,,,,,,,,,,,,,
Suttungr,,,,,,,,,,,,,,,,,,,
Kiviuq,,,,,,,,,,,,,,,,,,,
Mundilfari,,,,,,,,,,,,,,,,,,,
Albiorix,,,,,,,,,,,,,,,,,,,
Skathi,,,,,,,,,,,,,,,,,,,
Erriapus,,,,,,,,,,,,,,,,,,,
Siarnaq,,,,,,,,,,,,,,,,,,,
Thrymr,,,,,,,,,,,,,,,,,,,
Narvi,,,,,,,,,,,,,,,,,,,
Methone,,,,,,,,,,,,,,,,,,,
Pallene,,,,,,,,,,,,,,,,,,,
Polydeuces,,,,,,,,,,,,,,,,,,,
Daphnis,,,,,,,,,,,,,,,,,,,
Aegir,,,,,,,,,,,,,,,,,,,
Bebhionn,,,,,,,,,,,,,,,,,,,
Bergelmir,,,,,,,,,,,,,,,,,,,
Bestla,,,,,,,,,,,,,,,,,,,
Farbauti,,,,,,,,,,,,,,,,,,,
Fenrir,,,,,,,,,,,,,,,,,,,
Fornjot,,,,,,,,,,,,,,,,,,,
Hati,,,,,,,,,,,,,,,,,,,
Hyrrokkin,,,,,,,,,,,,,,,,,,,
Kari,,,,,,,,,,,,,,,,,,,
Loge,,,,,,,,,,,,,,,,,,,
Skoll,,,,,,,,,,,,,,,,,,,
Surtur,,,,,,,,,,,,,,,,,,,
Anthe,,,,,,,,,,,,,,,,,,,
Jarnsaxa,,,,,,,,,,,,,,,,,,,
Greip,,,,,,,,,,,,,,,,,,,
Tarqeq,,,,,,,,,,,,,,,,,,,
Aegaeon,,,,,,,,,,,,,,,,,,,
Gilgamehs,,,,,,,,,,,,,,,,,,,
Uruk-Hai,,,,,,,,,,,,,,,,,,,
Ea,,,,,,,,,,,,,,,,,,,
Elil,,,,,,,,,,,,,,,,,,,
Marduk,,,,,,,,,,,,,,,,,,,
Savarin,,,,,,,,,,,,,,,,,,,
Primatia,,,,,,,,,,,,,,,,,,,
Shir'lukman,,,,,,,,,,,,,,,,,,,
Amulet,,,,,,,,,,,,,,,,,,,
Z'ha'dum,,,,,,,,,,,,,,,,,,,
Keiridan,,,,,,,,,,,,,,,,,,,
Shakuras,,,,,,,,,,,,,,,,,,,
Aiur,,,,,,,,,,,,,,,,,,,
Altalena,,,,,,,,,,,,,,,,,,,
New Hebron,,,,,,,,,,,,,,,,,,,
Reach,,,,,,,,,,,,,,,,,,,
Bling,,,,,,,,,,,,,,,,,,,
ZoopZoop,,,,,,,,,,,,,,,,,,,
Aye-Karamba,,,,,,,,,,,,,,,,,,,
Sigma Five,,,,,,,,,,,,,,,,,,,
Minbar,,,,,,,,,,,,,,,,,,,
Rhorschicus V,,,,,,,,,,,,,,,,,,,
Agach Major,,,,,,,,,,,,,,,,,,,
Reznian Maximus,,,,,,,,,,,,,,,,,,,
Skerru's Bastion,,,,,,,,,,,,,,,,,,,
Luthold's Bastion,,,,,,,,,,,,,,,,,,,
Damnari Gamma,,,,,,,,,,,,,,,,,,,
Azertoh,,,,,,,,,,,,,,,,,,,
A1B2C3,,,,,,,,,,,,,,,,,,,
X-23,,,,,,,,,,,,,,,,,,,
Argyle,,,,,,,,,,,,,,,,,,,
New Delhi,,,,,,,,,,,,,,,,,,,
New New Albani,,,,,,,,,,,,,,,,,,,
Jlo,,,,,,,,,,,,,,,,,,,
Kobo,,,,,,,,,,,,,,,,,,,
Koru,,,,,,,,,,,,,,,,,,,
Tarrasque,,,,,,,,,,,,,,,,,,,
Glabrezu,,,,,,,,,,,,,,,,,,,
Demogorgon,,,,,,,,,,,,,,,,,,,
Ynnoghu,,,,,,,,,,,,,,,,,,,
Zuggtmoi,,,,,,,,,,,,,,,,,,,
Jerbalax,,,,,,,,,,,,,,,,,,,
Zeta Theta Theta,,,,,,,,,,,,,,,,,,,
"£$£""^",,,,,,,,,,,,,,,,,,,
TikTok,,,,,,,,,,,,,,,,,,,
Soldja,,,,,,,,,,,,,,,,,,,
Kohn,,,,,,,,,,,,,,,,,,,
Caer-Amar,,,,,,,,,,,,,,,,,,,
Toril,,,,,,,,,,,,,,,,,,,
Requiem,,,,,,,,,,,,,,,,,,,
Sanctuary,,,,,,,,,,,,,,,,,,,
Refuge,,,,,,,,,,,,,,,,,,,
Abbadon,,,,,,,,,,,,,,,,,,,
Thetis,,,,,,,,,,,,,,,,,,,
Avernus,,,,,,,,,,,,,,,,,,,
Maddon,,,,,,,,,,,,,,,,,,,
Dis,,,,,,,,,,,,,,,,,,,
Phlegehos,,,,,,,,,,,,,,,,,,,
Stygia,,,,,,,,,,,,,,,,,,,
Mabolge,,,,,,,,,,,,,,,,,,,
Maldomini,,,,,,,,,,,,,,,,,,,
Cania,,,,,,,,,,,,,,,,,,,
Nessus,,,,,,,,,,,,,,,,,,,
Char,,,,,,,,,,,,,,,,,,,
Ash,,,,,,,,,,,,,,,,,,,
Maelstrom,,,,,,,,,,,,,,,,,,,
Ahazu,,,,,,,,,,,,,,,,,,,
Baphomet,,,,,,,,,,,,,,,,,,,
Grankhul,,,,,,,,,,,,,,,,,,,
Grendl,,,,,,,,,,,,,,,,,,,
